Provincia;Via;PKInicio;PKFin;Tramo;Tipo;Causa;Calzada;RutaAlt;Observaciones;FechaAlta;MasInfo;Column 13
Ávila;CL-501;20.5;21.3;DE LA ADRADA (AV-930) A PIEDRALAVES;Precaución;Obras;Única;;Obras en la vía;2025-06-02T09:45:12+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225060;
Ávila;CL-605;81.0;81.2;DE VILLANUEVA DE ACERAL (AV-800) A MADRIGAL DE LAS ALTAS TORRES (CL-610);Precaución;Obras;Única;;Obras en la vía;2025-10-09T19:29:33+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226667;
Ávila;AV-413;0.0;0.84;DE ARÉVALO  A LÍMITE DE PROVINCIA DE SEGOVIA;Cortada;Obras;Única;;Obras en la vía;2025-05-06T14:12:02+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224727;
Ávila;AV-903;0.0;0.4;DE BURGOHONDO A AV-905;Precaución;Obras;Única;;--;2025-05-29T11:13:12+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225043;
Ávila;AV-913;16.44;16.55;DE SERRANILLOS A AV-922;Precaución;Obras;Única;;--;2025-05-29T11:11:56+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225042;
Burgos;BU-570;2.265;2.45;DE ESPINOSA DE LOS MONTEROS (BU-526) A SALCEDILLO (BU-572);Precaución;Obras;Única;;Obras en la vía;2025-10-14T13:53:26+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226705;
Burgos;BU-640;10.0;14.0;DE SASAMÓN A VILLADIEGO (BU-627);Precaución;Obras;Única;;Obras en la vía;2025-09-16T15:11:43+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226377;
León;CL-631;2.05;2.05;DE PONFERRADA (N-VI) INICIO DE AUTOVIA (CUBILLOS DEL SIL);Precaución;Otras;Única;;--;2025-10-09T15:10:42+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226664;
León;LE-524;2.5;3.2;DE VILLAQUEJIDA (N-630) A LÍMITE DE PROVINCIA DE ZAMORA;Precaución;Obras;Única;;Obras en la vía;2025-07-23T17:43:10+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225746;
León;LE-711;11.0;23.0;DE PONFERRADA (CL-631) A FABERO (LE-715);Circulación alternativa;Obras;Única;;Obras en la vía;2025-09-03T16:47:54+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226221;
Palencia;CL-613;0.0;1.87;DE PALENCIA (CL-615) A GRIJOTA (P-954);Precaución;Otras;Única;;--;2024-09-20T14:08:43+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=216815;
Palencia;P-131;28.182;34.625;DE BALTANÁS (CL-619) A PALENZUELA (N-622);Precaución;Otras;Única;;--;2025-08-05T14:28:13+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225857;
Palencia;P-230;0.0;8.5;DE HERRERA DE PISUERGA (P-227) A SOTOBAÑADO (P-233);Precaución;Otras;Única;;--;2025-08-05T14:07:51+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225855;
Palencia;P-231;18.35;18.62;DE CALAHORRA DE BOEDO (P-232) A HERRERA DE PISUERGA (P-230);Precaución;Otras;Única;;--;2024-12-10T19:40:19+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=218250;
Palencia;P-420;0.85;5.53;DE AMUSCO (N-611) A VALDESPINA (P-430);Precaución;Otras;Única;;--;2024-05-20T14:22:58+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=215311;
Palencia;P-431;1.8;3.2;DE FRÓMISTA (N-611a) A P-403;Precaución;Obras;Única;;Obras en la vía;2025-06-17T13:54:44+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225279;
Palencia;P-431;3.2;3.52;DE FRÓMISTA (N-611a) A P-403;Precaución;Otras;Única;;--;2025-06-03T13:43:49+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225090;
Palencia;P-434;2.1;3.0;DE FRÓMISTA (P-431) A LÍMITE DE PROVINCIA DE BURGOS;Precaución;Obras;Única;;Obras en la vía;2025-10-03T12:13:26+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226578;
Palencia;P-922;12.55;12.75;DE P-912 A VILLARRAMIEL (N-610);Precaución;Obras;Única;;Obras en la vía;2025-06-04T12:11:51+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225117;
Palencia;P-953;0.0;6.95;DE LA VENTA (CL-615) A BECERRIL DE CAMPOS (CL-613);Precaución;Otras;Única;;Obras en la vía;2024-09-20T14:10:24+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=216816;
Palencia;P-953;21.1;21.3;DE FUENTES DE NAVA (P-940) A AUTILLO DE CAMPOS (P-933);Precaución;Otras;Única;;--;2025-06-03T10:37:03+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225079;
Palencia;P-990;0.0;2.22;DE LA VENTA (CL-615) A MONZÓN DE CAMPOS (N-611);Precaución;Otras;Única;;--;2025-04-10T15:20:22+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224396;
Salamanca;CL-517;79.0;80.0;DE VITIGUDINO (SA-315) A LUMBRALES;Precaución;Otras;Única;;--;2025-10-22T10:23:33+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226783;
Salamanca;SA-104;0.0;7.455;DE GUIJUELO A LÍMITE DE PROVINCIA DE ÁVILA;Precaución;Obras;Única;;Obras en la vía;2025-10-06T10:14:36+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226591;
Salamanca;SA-105;4.0;10.0;DE PEÑARANDA DE BRACAMONTE (N-501) A SA-113 (MACOTERA);Precaución;Otras;Única;;--;2025-05-28T10:26:43+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225014;
Salamanca;SA-105;22.2;23.01;DE SA-113 (MACOTERA) A LÍMITE DE PROVINCIA DE ÁVILA;Precaución;Otras;Única;;--;2025-10-16T15:49:41+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226733;
Salamanca;SA-203;7.0;8.28;DE SA-201 A EL PASO DE LOS LOBOS;Circulación alternativa;Obras;Única;;Obras en la vía;2025-10-20T10:19:59+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226751;
